Gene,Expression,Age,Class,MainType,ClusterName,Subclass
Srrm3,0.0,13.0,Radial glia,Radial glia,RglHypFP,Hypothalamic floor-plate like
Srrm3,0.0053475935828877,12.0,Radial glia,Radial glia,RglF1,Forebrain
Srrm3,0.0,17.0,Radial glia,Radial glia,RglF2,Forebrain
Srrm3,0.0,12.0,Radial glia,Radial glia,RglZLI,Zona limitans intrathalamica
Srrm3,0.022222222222222223,12.5,Radial glia,Radial glia,RglRP,Roof plate
Srrm3,0.006936416184971098,12.5,Radial glia,Radial glia,RglCH2,Cortical hem
Srrm3,0.002881844380403458,8.0,Radial glia,Radial glia,RglACP,Anteromedial cerebral pole
Srrm3,0.007534983853606028,14.5,Radial glia,Radial glia,RglF3,Forebrain
Srrm3,0.0047562425683709865,16.0,Radial glia,Radial glia,RglF5,Forebrain
Srrm3,0.0,17.0,Radial glia,Radial glia,RglF7,Forebrain
Srrm3,0.0,15.0,Radial glia,Radial glia,RglF8,Forebrain
Srrm3,0.0,14.0,Radial glia,Radial glia,RglF9,Forebrain
Srrm3,0.06521739130434782,12.5,Radial glia,Radial glia,RglF10,Forebrain
Srrm3,0.014285714285714285,15.0,Radial glia,Radial glia,RglF11,Forebrain
Srrm3,0.03357314148681055,16.0,Radial glia,Radial glia,RglF13,Forebrain
Srrm3,0.01868629671574179,14.0,Radial glia,Radial glia,RglF14,Forebrain
Srrm3,0.04728789986091794,16.5,Radial glia,Radial glia,RglDD,Dorsal diencephalon
Srrm3,0.029197080291970802,17.5,Radial glia,Radial glia,RglH1,Mixed region
Srrm3,0.04899135446685879,15.5,Radial glia,Radial glia,RglM1,Midbrain
Srrm3,0.012280701754385965,10.0,Radial glia,Radial glia,RglM2,Midbrain
Srrm3,0.03005008347245409,15.0,Radial glia,Radial glia,RglM3,Midbrain
Srrm3,0.019464720194647202,15.5,Radial glia,Radial glia,RglM4,Midbrain
Srrm3,0.029874213836477988,14.0,Radial glia,Radial glia,RglH2,Mixed region
Srrm3,0.07692307692307693,16.0,Radial glia,Radial glia,RglH3,Hindbrain
Srrm3,0.04,10.0,Radial glia,Radial glia,RglH4,Hindbrain
Srrm3,0.0,15.5,Radial glia,Radial glia,RglSC,Spinal cord
Srrm3,0.010309278350515464,13.0,Radial glia,Radial glia,RglEpen2,Ependymal-like
Srrm3,0.05555555555555555,17.0,Radial glia,Radial glia,RglEpen4,Ependymal-like
Srrm3,0.013513513513513514,15.0,Radial glia,Radial glia,RglEpen5,Ependymal-like
Srrm3,0.0,14.5,Radial glia,Radial glia,RglHyp1,Hypothalamus
Srrm3,0.028169014084507043,10.0,Radial glia,Radial glia,RglHyp2,Hypothalamus
Srrm3,0.0,14.5,Radial glia,Radial glia,RglHyp3,Hypothalamus
Srrm3,0.025,12.5,Radial glia,Radial glia,RglHyp4,Hypothalamus
Srrm3,0.0,14.0,Radial glia,Radial glia,RglMHB5,Late isthmic organizer
Srrm3,0.05263157894736842,15.5,Radial glia,Radial glia,RglMix1,Mixed region
Srrm3,0.014577259475218658,17.5,Radial glia,Radial glia,RglH5,Hindbrain
Srrm3,0.021897810218978103,12.0,Radial glia,Radial glia,RglDH3,Dorsal hindbrain
Srrm3,0.0136986301369863,14.5,Radial glia,Radial glia,RglDH4,Dorsal hindbrain
Srrm3,0.0,11.0,Radial glia,Radial glia,RglDE1,Diencephalon
Srrm3,0.041666666666666664,17.5,Radial glia,Radial glia,RglDE2,Diencephalon
Srrm3,0.13043478260869565,13.0,Radial glia,Radial glia,RglDERP1,Diencephalic roof plate
Srrm3,0.012658227848101266,12.0,Radial glia,Radial glia,RglDERP2,Diencephalic roof plate
Srrm3,0.029535864978902954,13.0,Glioblast,Glioblasts,GblM1,Midbrain
Srrm3,0.003745318352059925,12.5,Glioblast,Glioblasts,GblM3,Midbrain
Srrm3,0.02181818181818182,15.0,Glioblast,Glioblasts,GblF8,Forebrain
Srrm3,0.025,12.5,Glioblast,Glioblasts,GblF9,Forebrain
Srrm3,0.005063291139240506,12.0,Glioblast,Glioblasts,GblF10,Forebrain
Srrm3,0.007326007326007326,13.0,Glioblast,Glioblasts,GblF11,Forebrain
Srrm3,0.0035335689045936395,14.0,Glioblast,Glioblasts,GblF12,Forebrain
Srrm3,0.0,13.0,Glioblast,Glioblasts,GblMix1,Mixed region
Srrm3,0.0106951871657754,12.0,Glioblast,Glioblasts,GblH1,Hindbrain
Srrm3,0.0049382716049382715,14.5,Glioblast,Glioblasts,GblH2,Hindbrain
Srrm3,0.0,14.0,Glioblast,Glioblasts,GblH3,Hindbrain
Srrm3,0.0,15.5,Glioblast,Glioblasts,GblH4,Hindbrain
Srrm3,0.015384615384615385,11.0,Glioblast,Glioblasts,GblH6,Hindbrain
Srrm3,0.04888888888888889,12.5,Glioblast,OPCs,PreOPC1,PreOPC
Srrm3,0.009868421052631578,12.0,Glioblast,OPCs,PreOPC2,PreOPC
Srrm3,0.02654867256637168,13.5,Glioblast,OPCs,PreOPC3,PreOPC
Srrm3,0.004694835680751174,11.0,Glioblast,Glioblasts,GblO1,Mixed region
Srrm3,0.006915629322268326,12.0,Glioblast,Glioblasts,GblO2,Mixed region
Srrm3,0.0,14.0,Glioblast,OPCs,OPC1,Undefined
Srrm3,0.4,16.0,Oligodendrocyte,OPCs,OPC2,Undefined
Srrm3,0.11392405063291139,13.0,Oligodendrocyte,OPCs,OPC3,Oligodendrocyte precursor cell
Srrm3,0.07947019867549669,12.0,Oligodendrocyte,OPCs,OPC4,Oligodendrocyte precursor cell
Srrm3,0.22234273318872017,13.5,Oligodendrocyte,OPCs,OPC5,Oligodendrocyte precursor cell
Srrm3,0.07883817427385892,12.0,Oligodendrocyte,OPCs,OPC6,Oligodendrocyte precursor cell
Srrm3,0.0763888888888889,12.0,Oligodendrocyte,OPCs,OPC7,Oligodendrocyte precursor cell
Srrm3,0.9649122807017544,17.0,Neuroblast,Neuroblasts,NblM1,Midbrain GABAergic
Srrm3,0.3939393939393939,15.5,Neuroblast,Neuroblasts,NblM3,Midbrain
Srrm3,0.21052631578947367,16.5,Neuroblast,Neuroblasts,NblM4,Midbrain
Srrm3,0.2413793103448276,13.0,Neuroblast,Neuroblasts,NblF1,Forebrain glutamatergic
Srrm3,0.09947643979057591,15.5,Neuroblast,Neuroblasts,NblF2,Forebrain
Srrm3,0.34101382488479265,14.0,Neuroblast,Neuroblasts,NblF3,Forebrain GABAergic
Srrm3,0.30113636363636365,12.5,Neuroblast,Neuroblasts,NblF5,Forebrain GABAergic
Srrm3,0.4430379746835443,12.5,Neuroblast,Neuroblasts,NblF6,Forebrain GABAergic
Srrm3,0.9254658385093167,12.0,Neuroblast,Neuroblasts,NblMN1,Motor neuron
Srrm3,0.3925233644859813,11.0,Neuroblast,Neuroblasts,NblMN2,Motor neuron
Srrm3,2.1073446327683616,16.5,Neuroblast,Neuroblasts,NblM5,Midbrain
Srrm3,0.744,12.0,Neuroblast,Neuroblasts,NblM6,Midbrain
Srrm3,0.7922077922077922,11.0,Neuroblast,Neuroblasts,NblM7,Midbrain
Srrm3,0.24198250728862974,8.5,Neuroblast,Neuroblasts,NblMix2,Mixed region
Srrm3,0.23770491803278687,13.0,Neuroblast,Neuroblasts,NblH1,Hindbrain
Srrm3,0.13195342820181113,17.0,Neuroblast,Neuroblasts,NblM7,Midbrain
Srrm3,0.20175438596491227,13.0,Neuroblast,Neuroblasts,NblM8,Midbrain
Srrm3,0.17582417582417584,14.0,Neuroblast,Neuroblasts,NblM9,Midbrain
Srrm3,0.08783783783783784,12.5,Neuroblast,Neuroblasts,NblM10,Midbrain
Srrm3,0.3010204081632653,14.5,Neuroblast,Neuroblasts,NblMix4,Mixed region
Srrm3,0.12173913043478261,15.0,Neuroblast,Neuroblasts,NblH5,Hindbrain
Srrm3,0.9612403100775194,8.5,Neuroblast,Neuroblasts,NblH6,Hindbrain
Srrm3,0.5256410256410257,16.0,Neuroblast,Neuroblasts,NblH7,Hindbrain
Srrm3,0.8531073446327684,12.5,Neuroblast,Neuroblasts,NblH8,Hindbrain
Srrm3,0.8444444444444444,9.0,Neuroblast,Neuroblasts,NblH9,Hindbrain
Srrm3,0.39436619718309857,14.5,Neuroblast,Neuroblasts,NblMix5,Mixed region
Srrm3,0.25139664804469275,16.0,Neuroblast,Neuroblasts,NblF8,Forebrain
Srrm3,0.13636363636363635,15.0,Neuroblast,Neuroblasts,NblF10,Forebrain glutamatergic
Srrm3,0.0,13.0,Neuroblast,Neuroblasts,NblF11,Forebrain glutamatergic
Srrm3,0.5813953488372093,15.5,Neuroblast,Neuroblasts,NblH10,Hindbrain
Srrm3,0.88,12.5,Neuroblast,Neuroblasts,NblMix6,Mixed region
Srrm3,0.9433962264150944,13.5,Neuroblast,Neuroblasts,NblH11,Hindbrain
Srrm3,0.3228346456692913,14.5,Neuroblast,Neuroblasts,NblMix7,Mixed region glutamatergic
Srrm3,0.7337278106508875,14.5,Neuroblast,Neuroblasts,NblM11,Midbrain glutamatergic
Srrm3,0.4647887323943662,14.0,Neuroblast,Neuroblasts,NblM12,Midbrain glutamatergic
Srrm3,0.632183908045977,12.5,Neuroblast,Neuroblasts,NblH14,Hindbrain
Srrm3,1.050420168067227,12.5,Neuroblast,Neuroblasts,NblH16,Hindbrain
Srrm3,0.4276729559748428,16.0,Neuroblast,Neuroblasts,NblH17,Hindbrain
Srrm3,0.24210526315789474,13.5,Neuroblast,Neuroblasts,NblF12,Forebrain
Srrm3,0.28,8.5,Neuroblast,Neuroblasts,NblSN1,Sensory neuron
Srrm3,0.13609467455621302,11.0,Undefined,Neuroblasts,NblSN4,Sensory neuron
Srrm3,1.2093023255813953,8.5,Neuroblast,Neuroblasts,NblSN5,Sensory neuron
Srrm3,2.9565217391304346,11.0,Neuroblast,Neuroblasts,NblSN8,Sensory neuron
Srrm3,1.6395939086294415,13.0,Neuroblast,Neuroblasts,Nbl387,Midbrain glutamatergic
Srrm3,3.0738916256157633,13.5,Neuroblast,Neuroblasts,Nbl388,Midbrain glutamatergic
Srrm3,2.3333333333333335,15.5,Neuroblast,Neuroblasts,Nbl389,Sensory neuron
Srrm3,1.9492753623188406,13.0,Neuroblast,Neuroblasts,Nbl390,Midbrain glutamatergic
Srrm3,1.9298245614035088,13.5,Neuroblast,Neuroblasts,Nbl391,Midbrain glutamatergic
Srrm3,2.085972850678733,13.0,Neuroblast,Neuroblasts,Nbl392,Midbrain glutamatergic
Srrm3,0.8764044943820225,14.5,Neuroblast,Neuroblasts,Nbl393,Hindbrain glutamatergic
Srrm3,1.2670807453416149,12.5,Neuroblast,Neuroblasts,Nbl394,Hindbrain glutamatergic
Srrm3,0.937007874015748,15.0,Neuroblast,Neuroblasts,Nbl395,Hindbrain glutamatergic
Srrm3,1.4406779661016949,12.5,Neuroblast,Neuroblasts,Nbl396,Hindbrain glutamatergic
Srrm3,1.2233009708737863,12.5,Neuroblast,Neuroblasts,Nbl398,Hindbrain glutamatergic
Srrm3,1.832258064516129,10.0,Neuroblast,Neuroblasts,Nbl399,Hindbrain glutamatergic
Srrm3,1.7116104868913857,12.5,Neuroblast,Neuroblasts,Nbl400,Hindbrain glutamatergic
Srrm3,1.916030534351145,15.0,Neuroblast,Neuroblasts,Nbl401,Spinal cord glutamatergic
Srrm3,1.7560975609756098,14.5,Neuroblast,Neuroblasts,Nbl402,Hindbrain GABAergic
Srrm3,1.6387665198237886,10.0,Neuroblast,Neuroblasts,Nbl403,Hindbrain GABAergic
Srrm3,1.9691119691119692,17.5,Neuroblast,Neuroblasts,Nbl404,Hindbrain glycinergic
Srrm3,1.6430976430976432,12.5,Neuroblast,Neuroblasts,Nbl405,Hindbrain glycinergic
Srrm3,1.4608695652173913,13.5,Neuroblast,Neuroblasts,Nbl406,Hindbrain glycinergic
Srrm3,0.9404388714733543,12.5,Neuroblast,Neuroblasts,Nbl408,Hindbrain glycinergic
Srrm3,1.2959183673469388,12.5,Neuroblast,Neuroblasts,Nbl409,Hindbrain GABAergic
Srrm3,1.059782608695652,13.0,Neuroblast,Neuroblasts,Nbl410,Midbrain
Srrm3,0.7333333333333333,13.0,Neuroblast,Neuroblasts,Nbl411,Midbrain
Srrm3,0.5261044176706827,13.0,Neuroblast,Neuroblasts,Nbl412,Midbrain glutamatergic
Srrm3,1.3492063492063493,15.0,Neuroblast,Neuroblasts,Nbl414,Midbrain glutamatergic
Srrm3,1.5079617834394905,16.5,Neuroblast,Neuroblasts,Nbl415,Midbrain glutamatergic
Srrm3,1.5217391304347827,13.0,Neuroblast,Neuroblasts,Nbl416,Midbrain glutamatergic
Srrm3,1.6787564766839378,13.0,Neuroblast,Neuroblasts,Nbl419,Midbrain glutamatergic
Srrm3,0.7463414634146341,16.0,Neuroblast,Neuroblasts,Nbl421,Thalamus glutamatergic
Srrm3,1.004255319148936,16.0,Neuroblast,Neuroblasts,Nbl422,Thalamus glutamatergic
Srrm3,0.8737373737373737,15.5,Neuroblast,Neuroblasts,Nbl423,Thalamus glutamatergic
Srrm3,0.7757575757575758,15.0,Neuroblast,Neuroblasts,Nbl424,Thalamus glutamatergic
Srrm3,0.09090909090909091,14.5,Neuroblast,Neuroblasts,Nbl425,Neuronal intermediate progenitor
Srrm3,0.21635687732342007,12.5,Neuroblast,Neuroblasts,Nbl428,Neuronal intermediate progenitor
Srrm3,0.36177474402730375,12.5,Neuroblast,Neuroblasts,Nbl429,Forebrain glutamatergic
Srrm3,0.3448275862068966,17.0,Neuroblast,Neuroblasts,Nbl430,Neuronal intermediate progenitor
Srrm3,0.3902439024390244,15.5,Neuroblast,Neuroblasts,Nbl431,Forebrain glutamatergic
Srrm3,0.22416534181240064,16.0,Neuroblast,Neuroblasts,Nbl433,Neuronal intermediate progenitor
Srrm3,0.25,12.5,Neuroblast,Neuroblasts,Nbl435,Forebrain glutamatergic
Srrm3,0.04922779922779923,16.0,Neuroblast,Neuroblasts,Nbl437,Neuronal intermediate progenitor
Srrm3,0.010526315789473684,17.5,Neuroblast,Neuroblasts,Nbl438,Neuronal intermediate progenitor
Srrm3,0.033632286995515695,16.25,Neuroblast,Neuroblasts,Nbl440,Neuronal intermediate progenitor
Srrm3,0.24521072796934865,16.0,Neuroblast,Neuroblasts,Nbl442,Neuronal intermediate progenitor
Srrm3,0.16018662519440124,16.0,Neuroblast,Neuroblasts,Nbl443,Neuronal intermediate progenitor
Srrm3,0.10784313725490197,16.25,Neuroblast,Neuroblasts,Nbl444,Neuronal intermediate progenitor
Srrm3,0.16165413533834586,10.0,Neuroblast,Neuroblasts,Nbl445,Neuronal intermediate progenitor
Srrm3,0.20555555555555555,10.0,Neuroblast,Neuroblasts,Nbl447,Neuronal intermediate progenitor
Srrm3,0.3333333333333333,11.0,Neuroblast,Neuroblasts,Nbl448,Undefined
Srrm3,0.16049382716049382,16.5,Neuroblast,Neuroblasts,Nbl449,Forebrain GABAergic
Srrm3,0.0861244019138756,15.0,Neuroblast,Neuroblasts,Nbl450,Forebrain GABAergic
Srrm3,0.13442622950819672,13.0,Neuroblast,Neuroblasts,Nbl451,Forebrain GABAergic
Srrm3,0.15262636273538158,10.0,Neuroblast,Neuroblasts,Nbl452,Forebrain GABAergic
Srrm3,0.26216216216216215,10.0,Neuroblast,Neuroblasts,Nbl454,Forebrain GABAergic
Srrm3,0.3498233215547703,10.0,Neuroblast,Neuroblasts,Nbl455,Forebrain GABAergic
Srrm3,0.26885245901639343,9.0,Neuroblast,Neuroblasts,Nbl456,Forebrain GABAergic
Srrm3,0.17758784425451093,16.0,Neuroblast,Neuroblasts,Nbl458,Forebrain GABAergic
Srrm3,0.20689655172413793,11.0,Neuroblast,Neuroblasts,Nbl459,Hindbrain
Srrm3,0.29508196721311475,10.0,Neuroblast,Neuroblasts,Nbl460,Hindbrain
Srrm3,0.2857142857142857,10.0,Neuroblast,Neuroblasts,Nbl461,Hindbrain
Srrm3,0.07207207207207207,13.0,Neuroblast,Neuroblasts,Nbl462,Hindbrain
Srrm3,0.03048780487804878,12.0,Neuroblast,Neuroblasts,Nbl463,Hindbrain
Srrm3,0.0,18.0,Neuroblast,Neuroblasts,Nbl464,Hindbrain
Srrm3,0.29508196721311475,14.5,Neuroblast,Neuroblasts,Nbl465,Hindbrain glycinergic
Srrm3,0.32222222222222224,13.0,Neuroblast,Neuroblasts,Nbl466,Hindbrain glycinergic
Srrm3,0.28205128205128205,14.0,Neuroblast,Neuroblasts,Nbl467,Hindbrain glycinergic
Srrm3,0.6944444444444444,12.0,Neuroblast,Neuroblasts,Nbl468,Undefined
Srrm3,0.5627705627705628,9.0,Neuroblast,Neuroblasts,Nbl470,Mixed region glutamatergic
Srrm3,0.9090909090909091,14.5,Neuroblast,Neuroblasts,Nbl471,Mixed region glutamatergic
Srrm3,0.7857142857142857,12.5,Neuroblast,Neuroblasts,Nbl472,Mixed region glutamatergic
Srrm3,1.0,14.5,Neuroblast,Neuroblasts,Nbl473,Hindbrain glutamatergic
Srrm3,1.2020997375328084,12.0,Neuroblast,Neuroblasts,Nbl474,Hindbrain glutamatergic
Srrm3,1.1474820143884892,12.5,Neuroblast,Neuroblasts,Nbl475,Hindbrain glutamatergic
Srrm3,0.29292929292929293,11.0,Neuroblast,Neuroblasts,Nbl477,Hindbrain
Srrm3,0.045454545454545456,11.0,Neuroblast,Neuroblasts,Nbl478,Hindbrain
Srrm3,0.34615384615384615,15.5,Neuroblast,Neuroblasts,Nbl480,Hindbrain
Srrm3,0.2946859903381642,13.0,Neuroblast,Neuroblasts,Nbl481,Hindbrain
Srrm3,0.18115942028985507,15.5,Neuroblast,Neuroblasts,Nbl483,Hindbrain
Srrm3,0.10707803992740472,13.5,Neuroblast,Neuroblasts,Nbl485,Hindbrain
Srrm3,0.1702127659574468,13.5,Neuroblast,Neuroblasts,Nbl488,Hindbrain glutamatergic
Srrm3,0.14942528735632185,13.0,Neuroblast,Neuroblasts,Nbl489,Hindbrain
Srrm3,0.07666666666666666,12.5,Neuroblast,Neuroblasts,Nbl490,Hindbrain glutamatergic
Srrm3,0.0967741935483871,15.0,Neuroblast,Neuroblasts,Nbl491,Hindbrain glutamatergic
Srrm3,0.4954648526077097,13.0,Neuron,Neurons,Neur493,Cortical or hippocampal glutamatergic
Srrm3,0.4692982456140351,12.0,Neuron,Neurons,Neur494,Cortical or hippocampal glutamatergic
Srrm3,0.42,13.5,Neuron,Neurons,Neur495,Cortical or hippocampal glutamatergic
Srrm3,0.5714285714285714,11.0,Neuron,Neurons,Neur496,Cortical or hippocampal glutamatergic
Srrm3,0.36585365853658536,16.0,Neuron,Neurons,Neur497,Cortical or hippocampal glutamatergic
Srrm3,0.4049586776859504,12.0,Neuron,Neurons,Neur498,Cortical or hippocampal glutamatergic
Srrm3,0.344106463878327,16.0,Neuron,Neurons,Neur499,Cortical or hippocampal glutamatergic
Srrm3,0.39518072289156625,12.5,Neuron,Neurons,Neur500,Cortical or hippocampal glutamatergic
Srrm3,0.24860335195530725,13.0,Neuron,Neurons,Neur501,Cortical or hippocampal glutamatergic
Srrm3,0.2772695285010556,12.0,Neuron,Neurons,Neur504,Cortical or hippocampal glutamatergic
Srrm3,0.3071391884951207,12.0,Neuron,Neurons,Neur505,Cortical or hippocampal glutamatergic
Srrm3,0.4527938342967245,14.5,Neuron,Neurons,Neur506,Cortical or hippocampal glutamatergic
Srrm3,0.3638344226579521,12.0,Neuron,Neurons,Neur508,Cortical or hippocampal glutamatergic
Srrm3,0.43564356435643564,18.0,Neuron,Neurons,Neur511,Cortical or hippocampal glutamatergic
Srrm3,0.40760389036251105,13.0,Neuron,Neurons,Neur514,Cortical or hippocampal glutamatergic
Srrm3,0.33407275953859805,13.0,Neuron,Neurons,Neur516,Cortical or hippocampal glutamatergic
Srrm3,0.4735576923076923,12.5,Neuron,Neurons,Neur519,Cortical or hippocampal glutamatergic
Srrm3,0.4262295081967213,13.0,Neuron,Neurons,Neur520,Cortical or hippocampal glutamatergic
Srrm3,0.36283185840707965,12.5,Neuron,Neurons,Neur521,Cortical or hippocampal glutamatergic
Srrm3,0.4456692913385827,12.5,Neuron,Neurons,Neur523,Cortical or hippocampal glutamatergic
Srrm3,0.5663551401869159,12.0,Neuron,Neurons,Neur524,Cortical or hippocampal glutamatergic
Srrm3,0.4843597262952102,12.5,Neuron,Neurons,Neur525,Cortical or hippocampal glutamatergic
Srrm3,0.28888888888888886,12.0,Neuron,Neurons,Neur527,Cortical or hippocampal glutamatergic
Srrm3,0.6666666666666666,15.5,Neuron,Neurons,Neur528,Cortical or hippocampal glutamatergic
Srrm3,0.09090909090909091,12.0,Neuron,Neurons,Neur529,Forebrain GABAergic
Srrm3,0.27249357326478146,15.0,Neuron,Neurons,Neur530,Forebrain GABAergic
Srrm3,0.26541554959785524,12.5,Neuron,Neurons,Neur532,Forebrain GABAergic
Srrm3,0.1386861313868613,16.0,Neuron,Neurons,Neur535,Forebrain GABAergic
Srrm3,0.13636363636363635,14.0,Neuron,Neurons,Neur536,Forebrain GABAergic
Srrm3,0.22777777777777777,15.0,Neuron,Neurons,Neur537,Forebrain GABAergic
Srrm3,0.37438423645320196,11.0,Neuron,Neurons,Neur539,Forebrain GABAergic
Srrm3,0.658273381294964,15.0,Neuron,Neurons,Neur540,Forebrain GABAergic
Srrm3,0.3665768194070081,14.0,Neuron,Neurons,Neur541,Forebrain GABAergic
Srrm3,0.4520547945205479,16.25,Neuron,Neurons,Neur542,Forebrain GABAergic
Srrm3,0.45821325648414984,17.5,Neuron,Neurons,Neur544,Forebrain GABAergic
Srrm3,0.5606796116504854,12.5,Neuron,Neurons,Neur545,Forebrain GABAergic
Srrm3,0.92,10.0,Neuron,Neurons,Neur546,Forebrain GABAergic
Srrm3,0.4613778705636743,16.5,Neuron,Neurons,Neur547,Forebrain GABAergic
Srrm3,0.3940677966101695,16.0,Neuron,Neurons,Neur548,Forebrain GABAergic
Srrm3,0.35174418604651164,12.0,Neuron,Neurons,Neur550,Forebrain GABAergic
Srrm3,0.3926940639269406,12.0,Neuron,Neurons,Neur551,Forebrain GABAergic
Srrm3,0.30864197530864196,12.0,Neuron,Neurons,Neur552,Forebrain GABAergic
Srrm3,0.3549618320610687,15.0,Neuron,Neurons,Neur553,Forebrain GABAergic
Srrm3,0.24315068493150685,12.5,Neuron,Neurons,Neur554,Forebrain GABAergic
Srrm3,0.3172690763052209,12.0,Neuron,Neurons,Neur555,Forebrain GABAergic
Srrm3,0.4117647058823529,12.0,Neuron,Neurons,Neur556,Undefined
Srrm3,0.5,11.0,Neuron,Neurons,Neur557,Undefined
Srrm3,0.38626609442060084,11.0,Neuron,Neurons,Neur558,Forebrain GABAergic
Srrm3,0.29658792650918636,12.5,Neuron,Neurons,Neur560,Forebrain GABAergic
Srrm3,0.29245283018867924,13.5,Neuron,Neurons,Neur561,Forebrain GABAergic
Srrm3,0.23809523809523808,12.0,Neuron,Neurons,Neur563,Forebrain GABAergic
Srrm3,0.35691318327974275,16.0,Neuron,Neurons,Neur565,Forebrain GABAergic
Srrm3,0.4349112426035503,14.0,Neuron,Neurons,Neur566,Forebrain GABAergic
Srrm3,0.34782608695652173,16.25,Neuron,Neurons,Neur567,Forebrain GABAergic
Srrm3,0.2471042471042471,11.0,Neuron,Neurons,Neur569,Forebrain GABAergic
Srrm3,0.23870967741935484,12.5,Neuron,Neurons,Neur571,Forebrain GABAergic
Srrm3,0.11553784860557768,15.0,Neuron,Neurons,Neur572,Forebrain GABAergic
Srrm3,0.592,13.5,Neuron,Neurons,Neur576,Midbrain GABAergic
Srrm3,0.5826612903225806,13.0,Neuron,Neurons,Neur577,Midbrain GABAergic
Srrm3,0.3855421686746988,12.5,Neuron,Neurons,Neur582,Midbrain GABAergic
Srrm3,0.38571428571428573,11.0,Neuron,Neurons,Neur583,Midbrain GABAergic
Srrm3,0.4225352112676056,14.0,Neuron,Neurons,Neur589,Midbrain GABAergic
Srrm3,0.7664233576642335,15.5,Neuron,Neurons,Neur590,Hindbrain glycinergic
Srrm3,0.6104783599088838,15.0,Neuron,Neurons,Neur591,Midbrain-hindbrain GABAergic
Srrm3,1.0054945054945055,15.5,Neuron,Neurons,Neur592,Midbrain GABAergic
Srrm3,0.6123456790123457,18.0,Neuron,Neurons,Neur596,Hindbrain glycinergic
Srrm3,0.43902439024390244,12.0,Neuron,Neurons,Neur597,Hindbrain GABAergic
Srrm3,0.4463276836158192,13.5,Neuron,Neurons,Neur598,Hindbrain GABAergic
Srrm3,0.44144144144144143,13.5,Neuron,Neurons,Neur599,Hindbrain glycinergic
Srrm3,0.4697286012526096,12.5,Neuron,Neurons,Neur600,Hindbrain glycinergic
Srrm3,0.6392961876832844,12.5,Neuron,Neurons,Neur601,Hindbrain glycinergic
Srrm3,0.44802867383512546,14.5,Neuron,Neurons,Neur602,Hindbrain glycinergic
