Gene,Expression,Age,Class,MainType,ClusterName,Subclass
Srrm3,0.01002004008016032,13.0,Neural crest,Neurons,NeurCrest1,Neural crest
Srrm3,0.013605442176870748,16.5,Glioblast,Glioblasts,GblF1,Forebrain
Srrm3,0.015873015873015872,11.0,Glioblast,Glioblasts,GblF4,Forebrain
Srrm3,0.005449591280653951,11.0,Glioblast,Glioblasts,GblF5,Forebrain
Srrm3,0.007874015748031496,12.0,Glioblast,Glioblasts,GblF7,Forebrain
Srrm3,0.0,13.0,Radial glia,Radial glia,RglDF1,Dorsal forebrain
Srrm3,0.0,12.0,Radial glia,Radial glia,RglDF2,Dorsal forebrain
Srrm3,0.03389830508474576,13.5,Radial glia,Radial glia,RglDF3,Dorsal forebrain
Srrm3,0.00539568345323741,16.5,Radial glia,Radial glia,RglDF4,Dorsal forebrain
Srrm3,0.004752851711026616,11.0,Radial glia,Radial glia,RglDF5,Dorsal forebrain
Srrm3,0.003246753246753247,11.0,Radial glia,Radial glia,RglDF6,Dorsal forebrain
Srrm3,0.005931198102016607,11.0,Radial glia,Radial glia,RglDF8,Dorsal forebrain
Srrm3,0.002002002002002002,16.25,Radial glia,Radial glia,RglDF9,Dorsal forebrain
Srrm3,0.0029296875,14.0,Radial glia,Radial glia,RglDF10,Dorsal forebrain
Srrm3,0.004024144869215292,13.5,Radial glia,Radial glia,RglDF11,Dorsal forebrain
Srrm3,0.006024096385542169,13.0,Radial glia,Radial glia,RglDF12,Dorsal forebrain
Srrm3,0.0045207956600361665,16.25,Radial glia,Radial glia,RglDF14,Dorsal forebrain
Srrm3,0.02531645569620253,13.0,Radial glia,Radial glia,RglDF15,Dorsal forebrain
Srrm3,0.0,17.0,Radial glia,Radial glia,RglCH1,Cortical hem
Srrm3,0.009831460674157303,13.0,Radial glia,Radial glia,RglMHB1,Midbrain-hindbrain boundary
Srrm3,0.012552301255230125,12.5,Radial glia,Radial glia,RglMHB2,Midbrain-hindbrain boundary
Srrm3,0.015625,12.0,Radial glia,Radial glia,RglMHB3,Midbrain-hindbrain boundary
Srrm3,0.016611295681063124,12.0,Radial glia,Radial glia,RglMHB4,Midbrain-hindbrain boundary
Srrm3,0.015047879616963064,13.0,Radial glia,Radial glia,RglVM1,Ventral hindbrain
Srrm3,0.027418126428027417,13.0,Radial glia,Radial glia,RglVM2,Ventral midbrain
Srrm3,0.01613691931540342,13.5,Radial glia,Radial glia,RglDM1,Dorsal midbrain
Srrm3,0.04023408924652524,12.5,Radial glia,Radial glia,RglHRP,Hindbrain roof plate
Srrm3,0.01843817787418655,12.5,Radial glia,Radial glia,RglDH1,Dorsal hindbrain
Srrm3,0.013788575180564675,13.5,Radial glia,Radial glia,RglDH2,Dorsal hindbrain
Srrm3,0.011834319526627219,13.5,Radial glia,Radial glia,RglMBP,Midbrain basal plate
Srrm3,0.008771929824561403,12.5,Radial glia,Radial glia,RglMFP,Midbrain floor plate
Srrm3,0.007547169811320755,12.5,Radial glia,Radial glia,RglHFP,Hindbrain floor plate
